cell_id	global_mCH	global_mCG	#non_clonal_reads	coverage	global_mCCC	#contact	clusters	subclusters
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD004	0.013230207818067984	0.7703183934930569	584845	8195850	0.00889025190769989	11003	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD006	0.0536185172426493	0.7516179717301058	1773103	24562326	0.01670659779379334	40981	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD007	0.06921773741222198	0.7820228138068784	1678452	23855937	0.017596901458645633	35622	L5	L5-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD008	0.06550896198587895	0.7660863966411998	1311010	18727660	0.017537320400823158	29351	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD010	0.06923596481753186	0.7954296519386432	1662566	23543097	0.017613205635889147	33159	L5	L5-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD012	0.03729278641756981	0.8077960762746262	1642894	23054958	0.012712370827896615	30933	Ndnf	Ndnf-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD002	0.02427103802075778	0.7755258980624123	1533101	21188640	0.012528180008114767	33705	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD004	0.06132761280543438	0.7865436615237792	1606999	22145749	0.01940215799380419	38587	L5	L5-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD006	0.02546301119402114	0.7822989881039826	1623696	21910813	0.014167924296105344	40208	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD007	0.03998695458600346	0.8013852316223723	1454692	20274761	0.015225145613256233	31086	Vip	Vip-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD010	0.05616010497592336	0.8211316907082284	1497928	20853450	0.0174466268912349	28476	Sst	Sst-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD012	0.07804372079867336	0.8345750846475307	1411308	19837227	0.022299863416791153	23021	L6	L6-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD002	0.034006365751397455	0.8148836272414163	1986211	27690489	0.010955949506449313	33962	Vip	Vip-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD004	0.011125705371815908	0.774364308302306	2658180	35205933	0.007693244512381249	64839	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD006	0.05244637864631969	0.7745821669774545	2517231	34407879	0.014696298878717054	58350	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD008	0.033431841091452814	0.7595800010780664	2032744	27739166	0.010650119438528529	48759	L2/3	L2/3-4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD010	0.009107125728895752	0.7793295567358917	2434525	32902323	0.007621490492998746	57153	OPC	OPC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A5_AD012	0.08482554951347966	0.8307245681352587	2139295	29878981	0.020280677294833408	33525	Sst	Sst-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD001	0.008570817177945037	0.6841349167263611	2352583	32969530	0.008275360698369972	36045	MP	MP-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD002	0.010984146516214134	0.7668887560419918	2216744	30769816	0.00833578363883935	39441	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A6_AD004	0.012198727658067192	0.7712248821826769	2704441	36177258	0.009347153582578005	68749	ODC	ODC-2
